?x	?label
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid123	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid129	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid142	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid149	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid154	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid160	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid165	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid174	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid181	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid246	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid259	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid263	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid267	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid271	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid275	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid282	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid287	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid293	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid299	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid307	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid312	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid317	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid322	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid327	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid334	
_:Bd443ad60X2D7f56X2D417bX2Dacb2X2Db91dd3a35eacgenid336	
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000016>	"disposition"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000023>	"role"
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/GO_0002209>	"behavioral defense response"
<http://purl.obolibrary.org/obo/GO_0003008>	"system process"
<http://purl.obolibrary.org/obo/GO_0003012>	"muscle system process"
<http://purl.obolibrary.org/obo/GO_0003013>	"circulatory system process"
<http://purl.obolibrary.org/obo/GO_0003015>	"heart process"
<http://purl.obolibrary.org/obo/GO_0003016>	"respiratory system process"
<http://purl.obolibrary.org/obo/GO_0006810>	"transport"
<http://purl.obolibrary.org/obo/GO_0006936>	"muscle contraction"
<http://purl.obolibrary.org/obo/GO_0006950>	"response to stress"
<http://purl.obolibrary.org/obo/GO_0006952>	"defense response"
<http://purl.obolibrary.org/obo/GO_0007589>	"body fluid secretion"
<http://purl.obolibrary.org/obo/GO_0007610>	"behavior"
<http://purl.obolibrary.org/obo/GO_0008150>	"biological_process"
<http://purl.obolibrary.org/obo/GO_0032501>	"multicellular organismal process"
<http://purl.obolibrary.org/obo/GO_0032941>	"secretion by tissue"
<http://purl.obolibrary.org/obo/GO_0040011>	"locomotion"
<http://purl.obolibrary.org/obo/GO_0046903>	"secretion"
<http://purl.obolibrary.org/obo/GO_0050878>	"regulation of body fluid levels"
<http://purl.obolibrary.org/obo/GO_0050896>	"response to stimulus"
<http://purl.obolibrary.org/obo/GO_0051179>	"localization"
<http://purl.obolibrary.org/obo/GO_0051234>	"establishment of localization"
<http://purl.obolibrary.org/obo/GO_0065007>	"biological regulation"
<http://purl.obolibrary.org/obo/GO_0065008>	"regulation of biological quality"
<http://purl.obolibrary.org/obo/GO_0160269>	"sweat secretion"
<http://purl.obolibrary.org/obo/IAO_0000005>	"objective specification"
<http://purl.obolibrary.org/obo/IAO_0000027>	"data item"
<http://purl.obolibrary.org/obo/IAO_0000030>	"information content entity"
<http://purl.obolibrary.org/obo/IAO_0000033>	"directive information entity"
<http://purl.obolibrary.org/obo/IDO_0000436>	"infectious disease"
<http://purl.obolibrary.org/obo/IDO_0000495>	"infectious disease course"
<http://purl.obolibrary.org/obo/MF_0000019>	"perception"
<http://purl.obolibrary.org/obo/MF_0000020>	"mental process"
<http://purl.obolibrary.org/obo/MF_0000024>	"seeing"
<http://purl.obolibrary.org/obo/MF_0000038>	"hearing"
<http://purl.obolibrary.org/obo/MF_0000055>	"smelling"
<http://purl.obolibrary.org/obo/MF_0000056>	"touching"
<http://purl.obolibrary.org/obo/NCBITaxon_9606>	"Homo sapiens"
<http://purl.obolibrary.org/obo/OBI_0000011>	"planned process"
<http://purl.obolibrary.org/obo/OBI_0000047>	"processed material"
<http://purl.obolibrary.org/obo/OBI_0000093>	"patient role"
<http://purl.obolibrary.org/obo/OBI_0000319>	"material to be added role"
<http://purl.obolibrary.org/obo/OBI_0000434>	"adding material objective"
<http://purl.obolibrary.org/obo/OBI_0000444>	"target of material addition role"
<http://purl.obolibrary.org/obo/OBI_0000456>	"material transformation objective"
<http://purl.obolibrary.org/obo/OBI_0000686>	"material combination objective"
<http://purl.obolibrary.org/obo/OBI_0100026>	"organism"
<http://purl.obolibrary.org/obo/OGMS_0000031>	"disease"
<http://purl.obolibrary.org/obo/OGMS_0000060>	"bodily process"
<http://purl.obolibrary.org/obo/OGMS_0000061>	"pathological bodily process"
<http://purl.obolibrary.org/obo/OGMS_0000063>	"disease course"
<http://purl.obolibrary.org/obo/OGMS_0000090>	"treatment"
<http://purl.obolibrary.org/obo/OGMS_0000096>	"health care process"
<http://purl.obolibrary.org/obo/OGMS_0000097>	"health care encounter"
<http://purl.obolibrary.org/obo/OGMS_0000099>	"outpatient encounter"
<http://purl.obolibrary.org/obo/OHD_0000000>	"dental restoration material"
<http://purl.obolibrary.org/obo/OHD_0000002>	"dental procedure"
<http://purl.obolibrary.org/obo/OHD_0000004>	"tooth restoration procedure"
<http://purl.obolibrary.org/obo/OHD_0000007>	"tooth to be restored role"
<http://purl.obolibrary.org/obo/OHD_0000009>	"dental visit"
<http://purl.obolibrary.org/obo/OHD_0000012>	"human dental patient"
<http://purl.obolibrary.org/obo/OHD_0000051>	"dental healthcare provider"
<http://purl.obolibrary.org/obo/OHD_0000052>	"dental healthcare provider role"
<http://purl.obolibrary.org/obo/OHD_0000179>	"healthcare provider"
<http://purl.obolibrary.org/obo/OHD_0000189>	"restored tooth"
<http://purl.obolibrary.org/obo/OHD_0000190>	"dental patient role"
<http://purl.obolibrary.org/obo/OHD_0000191>	"dental restoration material role"
<http://purl.obolibrary.org/obo/OHD_0000191>	"dental restoration material role"
<http://purl.obolibrary.org/obo/OHD_0000206>	"functional tooth"
<http://purl.obolibrary.org/obo/OHD_0000212>	"healthcare provider role"
<http://purl.obolibrary.org/obo/OHD_0000274>	"tooth cleaning process"
<http://purl.obolibrary.org/obo/OHD_0000301>	"prosthesis"
<http://purl.obolibrary.org/obo/OHD_0000302>	"prosthetic tooth"
<http://purl.obolibrary.org/obo/OHD_0000314>	"prosthetic role"
<http://purl.obolibrary.org/obo/OHD_0000315>	"functional prosthetic role"
<http://purl.obolibrary.org/obo/OHD_0000415>	"data collection"
<http://purl.obolibrary.org/obo/OHD_0000416>	"dataset"
<http://purl.obolibrary.org/obo/OHD_0000421>	"DFS 01. Has fear of dental work ever caused you to put off making an appointment?"
<http://purl.obolibrary.org/obo/OHD_0000422>	"DFS 02. Has fear of dental work ever caused you to cancel or not appear for an appointment?"
<http://purl.obolibrary.org/obo/OHD_0000423>	"DFS 03. My muscles become tense."
<http://purl.obolibrary.org/obo/OHD_0000424>	"DFS 04. My breathing rate increases."
<http://purl.obolibrary.org/obo/OHD_0000426>	"DFS 05. I perspire."
<http://purl.obolibrary.org/obo/OHD_0000427>	"DFS 06. I feel nauseated and sick to my stomach."
<http://purl.obolibrary.org/obo/OHD_0000428>	"DFS 07. My heart beats faster."
<http://purl.obolibrary.org/obo/OHD_0000429>	"DFS 08. Making an appointment for dentistry."
<http://purl.obolibrary.org/obo/OHD_0000430>	"DFS 09. Approaching the dentist’s office."
<http://purl.obolibrary.org/obo/OHD_0000431>	"DFS 10. Sitting in the waiting room."
<http://purl.obolibrary.org/obo/OHD_0000432>	"DFS 11. Being seated in the dental chair."
<http://purl.obolibrary.org/obo/OHD_0000433>	"DFS 12. The smell of the dentist’s office."
<http://purl.obolibrary.org/obo/OHD_0000434>	"DFS 13. Seeing the dentist walk in."
<http://purl.obolibrary.org/obo/OHD_0000435>	"DFS 14. Seeing the anesthetic needle."
<http://purl.obolibrary.org/obo/OHD_0000436>	"DFS 15. Feeling the needle injected."
<http://purl.obolibrary.org/obo/OHD_0000437>	"DFS 16. Seeing the drill."
<http://purl.obolibrary.org/obo/OHD_0000438>	"DFS 17. Hearing the drill."
<http://purl.obolibrary.org/obo/OHD_0000439>	"DFS 18. Feeling the vibrations of the drill."
<http://purl.obolibrary.org/obo/OHD_0000440>	"DFS 19. Having your teeth cleaned."
<http://purl.obolibrary.org/obo/OHD_0000441>	"DFS 20. All things considered, how fearful are you of having dental work done?"
<http://purl.obolibrary.org/obo/OHD_0000443>	"dental caries disease course"
<http://purl.obolibrary.org/obo/OHD_0000444>	"Modified Dental Anxiety Scale (MDAS)"
<http://purl.obolibrary.org/obo/OHD_0000445>	"Modified Dental Anxiety Scale (MDAS) question"
<http://purl.obolibrary.org/obo/OHD_0000446>	"MDAS 1. If you went to your Dentist for TREATMENT TOMORROW, how would you feel?"
<http://purl.obolibrary.org/obo/OHD_0000447>	"MDAS 2. If you were sitting in the WAITING ROOM (waiting for treatment), how would you feel?"
<http://purl.obolibrary.org/obo/OHD_0000448>	"MDAS 3. If you were about to have a TOOTH DRILLED, how would you feel?"
<http://purl.obolibrary.org/obo/OHD_0000449>	"MDAS 4. If you were about to have your TEETH SCALED AND POLISHED, how would you feel?"
<http://purl.obolibrary.org/obo/OHD_0000450>	"MDAS 5. If you were about to have a LOCAL ANAESTHETIC INJECTION in your gum, above an upper back tooth, how would you feel?"
<http://purl.obolibrary.org/obo/OHD_0000451>	"feeling dental drill vibrations"
<http://purl.obolibrary.org/obo/OHD_0000482>	"dental fear survey answer"
<http://purl.obolibrary.org/obo/OHD_0000499>	"Dental Fear Survey (DFS) answer"
<http://purl.obolibrary.org/obo/OHD_0000500>	"DFS - frequency answer"
<http://purl.obolibrary.org/obo/OHD_0000501>	"DFS - level of fear, anxiety, or unpleasantness answer"
<http://purl.obolibrary.org/obo/OHD_0000502>	"DFS - never"
<http://purl.obolibrary.org/obo/OHD_0000503>	"DFS - once or twice"
<http://purl.obolibrary.org/obo/OHD_0000504>	"DFS - a few times"
<http://purl.obolibrary.org/obo/OHD_0000505>	"DFS - often"
<http://purl.obolibrary.org/obo/OHD_0000506>	"DFS - nearly every time"
<http://purl.obolibrary.org/obo/OHD_0000507>	"DFS - none at all"
<http://purl.obolibrary.org/obo/OHD_0000508>	"DFS - a little"
<http://purl.obolibrary.org/obo/OHD_0000509>	"DFS - somewhat"
<http://purl.obolibrary.org/obo/OHD_0000510>	"DFS - much"
<http://purl.obolibrary.org/obo/OHD_0000511>	"DFS - very much"
<http://purl.obolibrary.org/obo/OHD_0000512>	"Modified Dental Anxiety Scale (MDAS) answer"
<http://purl.obolibrary.org/obo/OHD_0000513>	"MDAS - Not anxious"
<http://purl.obolibrary.org/obo/OHD_0000514>	"MDAS - Slightly anxious"
<http://purl.obolibrary.org/obo/OHD_0000515>	"MDAS - Fairly anxious"
<http://purl.obolibrary.org/obo/OHD_0000516>	"MDAS - Very anxious"
<http://purl.obolibrary.org/obo/OHD_0000517>	"MDAS - Extremely anxious"
<http://purl.obolibrary.org/obo/OHD_0005005>	"avoidance behavior"
<http://purl.obolibrary.org/obo/OHD_0005006>	"health encounter avoidance behavior"
<http://purl.obolibrary.org/obo/OHD_0005007>	"dental visit avoidance behavior"
<http://purl.obolibrary.org/obo/OHD_0005010>	"health care encounter avoidance behavior that involves delay in scheduling a health care appointment"
<http://purl.obolibrary.org/obo/OHD_0005012>	"dental visit avoidance behavior that involves delay in scheduling a dental appointment"
<http://purl.obolibrary.org/obo/OHD_0005013>	"dental visit avoidance behavior that involves canceling or not showing up for a dental appointment"
<http://purl.obolibrary.org/obo/OHD_0005014>	"dental visit avoidance behavior that involves canceling a dental appointment"
<http://purl.obolibrary.org/obo/OHD_0005015>	"dental visit avoidance behavior that involves not showing up for a dental appointment"
<http://purl.obolibrary.org/obo/OHD_0008000>	"evaluative information entity"
<http://purl.obolibrary.org/obo/OHD_0008001>	"Index of Dental Anxiety and Fear (IDAF-4C+) Question"
<http://purl.obolibrary.org/obo/OHD_0008002>	"seeing dental drill"
<http://purl.obolibrary.org/obo/OHD_0008003>	"Dental Anxiety Scale (DAS) question"
<http://purl.obolibrary.org/obo/OHD_0008004>	"dental fear and anxiety study dataset"
<http://purl.obolibrary.org/obo/OHD_0008005>	"hearing dental drill"
<http://purl.obolibrary.org/obo/OHD_0008007>	"avoidance or anticipatory fear question"
<http://purl.obolibrary.org/obo/OHD_0008008>	"dental fear and anxiety assessment instrument"
<http://purl.obolibrary.org/obo/OHD_0008009>	"assessment question"
<http://purl.obolibrary.org/obo/OHD_0008010>	"Dental Fear Survey (DFS) question"
<http://purl.obolibrary.org/obo/OHD_0008011>	"question"
<http://purl.obolibrary.org/obo/OHD_0008012>	"dental fear survey assessment instrument answer"
<http://purl.obolibrary.org/obo/OHD_0008014>	"Dental Anxiety Scale (DAS) answer"
<http://purl.obolibrary.org/obo/OHD_0008015>	"Index of Dental Anxiety and Fear (IDAF-4C+) answer"
<http://purl.obolibrary.org/obo/OHD_0008016>	"smelling dentist office"
<http://purl.obolibrary.org/obo/OHD_0008017>	"Index of Dental Anxiety and Fear (IDAF-4C+)"
<http://purl.obolibrary.org/obo/OHD_0008018>	"Dental Fear Survey (DFS)"
<http://purl.obolibrary.org/obo/OHD_0008019>	"Dental Anxiety Scale (DAS)"
<http://purl.obolibrary.org/obo/OHD_0008020>	"avoidance behavior question"
<http://purl.obolibrary.org/obo/OHD_0008021>	"health encounter avoidance question"
<http://purl.obolibrary.org/obo/OHD_0008022>	"dental visit avoidance question"
<http://purl.obolibrary.org/obo/OHD_0008023>	"question about canceling or not showing up for a dental appointment"
<http://purl.obolibrary.org/obo/OHD_0008024>	"question about delay in scheduling a dental appointment"
<http://purl.obolibrary.org/obo/OHD_0008025>	"seeing dentist"
<http://purl.obolibrary.org/obo/OHD_0008026>	"seeing anesthetic needle"
<http://purl.obolibrary.org/obo/OHD_0008027>	"patient sitting in waiting room"
<http://purl.obolibrary.org/obo/OHD_0008028>	"tooth drilling procedure"
<http://purl.obolibrary.org/obo/OHD_0008029>	"question about patient sitting in a waiting room"
<http://purl.obolibrary.org/obo/OHD_0008030>	"question about tooth drilling"
<http://purl.obolibrary.org/obo/OHD_0008031>	"tooth scaling procedure"
<http://purl.obolibrary.org/obo/OHD_0008032>	"tooth polishing procedure"
<http://purl.obolibrary.org/obo/OHD_0008033>	"local anaesthetic injection"
<http://purl.obolibrary.org/obo/OHD_0008034>	"tooth cleaning procedure"
<http://purl.obolibrary.org/obo/OHD_0008035>	"question about a tooth cleaning procedure"
<http://purl.obolibrary.org/obo/OHD_0008036>	"feeling needle injection"
<http://purl.obolibrary.org/obo/OHD_0008037>	"process before dental visit"
<http://purl.obolibrary.org/obo/OHD_0008038>	"dental visit phase"
<http://purl.obolibrary.org/obo/OHD_0008038>	"sitting process"
<http://purl.obolibrary.org/obo/OHD_0008039>	"process during dental visit"
<http://purl.obolibrary.org/obo/OHD_0008040>	"process after dental visit"
<http://purl.obolibrary.org/obo/OHD_0008041>	"question about prior to dental visit"
<http://purl.obolibrary.org/obo/OHD_0008042>	"question about during dental visit"
<http://purl.obolibrary.org/obo/OHD_0008043>	"question about after dental visit"
<http://purl.obolibrary.org/obo/OHD_0008044>	"dental procedure question"
<http://purl.obolibrary.org/obo/OHD_0008046>	"fear of specific dental stimuli question"
<http://purl.obolibrary.org/obo/OHD_0008047>	"question about physiological arousal"
<http://purl.obolibrary.org/obo/OHD_0008048>	"fear of pain question"
<http://purl.obolibrary.org/obo/OHD_0008049>	"increased breathing rate"
<http://purl.obolibrary.org/obo/OHD_0008050>	"fear of minor pain question"
<http://purl.obolibrary.org/obo/OHD_0008051>	"nausea"
<http://purl.obolibrary.org/obo/OHD_0008052>	"increased heart rate"
<http://purl.obolibrary.org/obo/OHD_0008053>	"fear of severe pain question"
<http://purl.obolibrary.org/obo/OHD_0008054>	"fear of medical procedure question"
<http://purl.obolibrary.org/obo/OHD_0008055>	"IDAF-4C+ 1a. I feel anxious shortly before going to the dentist."
<http://purl.obolibrary.org/obo/OHD_0008056>	"IDAF-4C+ 1b. I generally avoid going to the dentist because I find the experience unpleasant or distressing."
<http://purl.obolibrary.org/obo/OHD_0008057>	"IDAF-4C+ 1c. I get nervous or edgy about upcoming dental visits."
<http://purl.obolibrary.org/obo/OHD_0008058>	"IDAF-4C+ 1d. I think that something really bad would happen to me if I were to visit a dentist."
<http://purl.obolibrary.org/obo/OHD_0008059>	"IDAF-4C+ 1e. I feel afraid or fearful when visiting the dentist."
<http://purl.obolibrary.org/obo/OHD_0008060>	"IDAF-4C+ 1f. My heart beats faster when I go to the dentist."
<http://purl.obolibrary.org/obo/OHD_0008061>	"IDAF-4C+ 1g. I delay making appointments to go to the dentist."
<http://purl.obolibrary.org/obo/OHD_0008062>	"IDAF-4C+ 1h. I often think about all the things that might go wrong prior to going to the dentist."
<http://purl.obolibrary.org/obo/OHD_0008063>	"IDAF-4C+ 2a. Going to the dentist is actively avoided or else endured with intense fear or anxiety."
<http://purl.obolibrary.org/obo/OHD_0008064>	"IDAF-4C+ 2b. My fear of going to the dentist has been present for at least 6 months."
<http://purl.obolibrary.org/obo/OHD_0008065>	"IDAF-4C+ 2c. My fear, anxiety or avoidance of going to the dentist significantly affects my life in some way (dental pain, avoiding eating some foods, embarrassed or self-conscious about appearance of teeth or mouth, etc.)."
<http://purl.obolibrary.org/obo/OHD_0008066>	"IDAF-4C+ 2d. I am afraid of going to the dentist because I am concerned I may have a panic attack  (abrupt fear with sweating, pounding heart, fear of dying or losing control, chest pain etc.)."
<http://purl.obolibrary.org/obo/OHD_0008067>	"IDAF-4C+ 2e. I am afraid of going to the dentist because I am generally highly self-conscious or concerned about being watched or judged in social situations."
<http://purl.obolibrary.org/obo/OHD_0008068>	"IDAF-4C+ 3a. Painful or uncomfortable procedures."
<http://purl.obolibrary.org/obo/OHD_0008069>	"IDAF-4C+ 3b. Feeling embarrassed or ashamed."
<http://purl.obolibrary.org/obo/OHD_0008070>	"IDAF-4C+ 3c. Not being in control of what is happening."
<http://purl.obolibrary.org/obo/OHD_0008071>	"IDAF-4C+ 3d. Feeling sick, quesy or disgusted."
<http://purl.obolibrary.org/obo/OHD_0008072>	"IDAF-4C+ 3e. Numbness caused by the anesthetic."
<http://purl.obolibrary.org/obo/OHD_0008073>	"IDAF-4C+ 3f. Not knowing what the dentist is going to do."
<http://purl.obolibrary.org/obo/OHD_0008074>	"IDAF-4C+ 3g. The cost of dental treatment."
<http://purl.obolibrary.org/obo/OHD_0008075>	"IDAF-4C+ 3h. Needles or injections."
<http://purl.obolibrary.org/obo/OHD_0008076>	"IDAF-4C+ 3i. Gagging or choking."
<http://purl.obolibrary.org/obo/OHD_0008077>	"IDAF-4C+ 3j. Having an unsympathetic or unkind dentist."
<http://purl.obolibrary.org/obo/OHD_0008078>	"IDAF-4C+ 1. How much do you agree with the following statements?"
<http://purl.obolibrary.org/obo/OHD_0008079>	"IDAF-4C+ 2. Do the following statements apply to you?"
<http://purl.obolibrary.org/obo/OHD_0008080>	"IDAF-4C+ 3. To what extent are you anxious about the following things when you go the dentist."
<http://purl.obolibrary.org/obo/UBERON_0000061>	"anatomical structure"
<http://purl.obolibrary.org/obo/UBERON_0000062>	"organ"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"material anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0000479>	"tissue"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
<http://purl.obolibrary.org/obo/UBERON_0001091>	"calcareous tooth"
<http://purl.obolibrary.org/obo/UBERON_0001751>	"dentine"
<http://purl.obolibrary.org/obo/UBERON_0002384>	"connective tissue"
<http://purl.obolibrary.org/obo/UBERON_0003913>	"tooth-like structure"
<http://purl.obolibrary.org/obo/UBERON_0004121>	"ectoderm-derived structure"
<http://purl.obolibrary.org/obo/UBERON_0004755>	"skeletal tissue"
<http://purl.obolibrary.org/obo/UBERON_0004765>	"skeletal element"
<http://purl.obolibrary.org/obo/UBERON_0010000>	"multicellular anatomical structure"
<http://purl.obolibrary.org/obo/UBERON_0010313>	"neural crest-derived structure"
<http://purl.obolibrary.org/obo/UBERON_0010314>	"structure with developmental contribution from neural crest"
<http://purl.obolibrary.org/obo/UBERON_0010365>	"odontoid tissue"
<http://purl.obolibrary.org/obo/UBERON_4000013>	"mineralized skeletal tissue"
